Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.6,379626254,821,462395.0,11066.0,3749,19786131,1489818.3,cudaMemcpyAsync
21.4,235183450,1,235183450.0,235183450.0,235183450,235183450,0.0,cudaHostAlloc
19.7,215970145,170,1270412.6,6462.5,4289,87097018,7634940.1,cudaLaunchKernel
6.3,68956871,37,1863699.2,1553433.0,1360448,5320238,867808.5,cudaGetDeviceProperties_v2_v12000
5.1,56139172,92,610208.4,479392.5,148192,3343447,481580.3,cudaFree
3.2,34783413,1,34783413.0,34783413.0,34783413,34783413,0.0,cudaFreeHost
2.9,31418577,95,330721.9,314081.0,20648,552626,76435.2,cudaMalloc
2.0,21453332,820,26162.6,4949.5,2183,119459,29916.5,cudaStreamSynchronize
1.7,18580803,4,4645200.8,19900.0,19245,18521758,9251038.2,cudaStreamCreateWithPriority
1.5,16436476,4,4109119.0,4838825.0,1424995,5333831,1806152.7,cuLibraryLoadData
1.4,15786882,296,53334.1,371.5,255,5024417,483317.5,cuKernelGetFunction
0.3,2756792,4,689198.0,366997.5,44961,1977836,874870.1,cuLibraryUnload
0.0,227604,48,4741.8,4242.5,3252,15440,2017.5,cudaMemsetAsync
0.0,227177,100,2271.8,1959.5,1023,9254,1264.6,cudaStreamIsCapturing_v10000
0.0,166003,810,204.9,165.0,90,5977,224.5,cuGetProcAddress_v2
0.0,152249,4,38062.3,38112.0,37688,38337,272.9,cudaMemGetInfo
0.0,72792,4,18198.0,13145.0,10416,36086,12127.0,cudaStreamDestroy
0.0,66958,3,22319.3,7126.0,6160,53672,27156.5,cudaEventRecord
0.0,22821,18,1267.8,391.0,356,8016,2077.6,cudaEventCreateWithFlags
0.0,20470,12,1705.8,674.5,499,4162,1632.0,cudaEventCreate
0.0,10147,4,2536.8,2385.0,2174,3203,457.0,cuInit
0.0,3544,1,3544.0,3544.0,3544,3544,0.0,cuMemGetAllocationGranularity
0.0,3336,4,834.0,819.5,714,983,125.9,cuLibraryGetKernel
0.0,1479,2,739.5,739.5,521,958,309.0,cudaGetDriverEntryPoint_v11030
0.0,891,3,297.0,178.0,172,541,211.3,cuModuleGetLoadingMode
